特征,重要性
add2cart,0.49831322
coupon_used,0.10618204
is_follow_author,0.04081911
funnel_progress,0.03999981
user_level,0.026853755
purchase_intent_log,0.024746623
purchase_intent,0.015436112
influence_intensity,0.012461067
interaction_rate,0.009852927
social_influence,0.009677913
last_click_gap,0.009639324
discount_depth,0.00921256
freshness_score,0.009137374
social_influence_log,0.009121569
discount_rate,0.00710838
last_click_gap_log,0.006300687
total_engagements_log,0.004366481
interaction_rate_log,0.0042968015
collect_num_log,0.0042743497
video_engagement,0.0039709234
like_num_log,0.0039256327
social_connectivity,0.0038731347
price_log,0.0038326073
share_num_log,0.003794439
like_num,0.0037874682
fans_num_log,0.003770121
cat_食品生鲜,0.0036708722
price_value,0.0036621825
activity_score,0.003650692
register_days,0.0036446853
follow_num,0.003631958
price,0.003624301
spend_intensity,0.003612771
category_code,0.0036096275
effective_price,0.003597151
comment_num,0.0035659447
content_richness,0.0035595468
title_emo_score,0.003553628
title_length,0.0035498485
total_spend,0.0035392991
cat_家居日用,0.0035258415
discount_amount,0.003464719
follow_num_log,0.0034589628
comment_num_log,0.0034580275
cat_数码家电,0.0034432337
collect_num,0.0034314413
cat_其他,0.0034303367
pv_count,0.0034184996
img_count,0.0034151382
total_spend_log,0.0034065524
purchase_freq_log,0.003390999
pv_count_log,0.0033771237
cat_服饰鞋包,0.0033651283
fans_num,0.003354265
share_num,0.003313862
purchase_freq,0.0032778063
item_popularity,0.0032773933
age,0.0032636411
gender,0.0031506594
cat_美妆个护,0.0030939132
coupon_received,0.0030700099
has_video,0.002458892
recency_burden,0.0019265524
