字段,类型,非空数,缺失数,缺失率(%),唯一值数
user_id,object,100000,0,0.0,100000
item_id,object,100000,0,0.0,60363
age,int64,100000,0,0.0,45
gender,int64,100000,0,0.0,2
user_level,int64,100000,0,0.0,7
purchase_freq,int64,100000,0,0.0,51
total_spend,float64,100000,0,0.0,90450
register_days,int64,100000,0,0.0,1522
follow_num,int64,100000,0,0.0,329
fans_num,int64,100000,0,0.0,78
price,float64,100000,0,0.0,28726
discount_rate,float64,100000,0,0.0,603
category,object,100000,0,0.0,6
title_length,int64,100000,0,0.0,72
title_emo_score,float64,100000,0,0.0,855
img_count,int64,100000,0,0.0,8
has_video,int64,100000,0,0.0,2
like_num,int64,100000,0,0.0,1005
comment_num,int64,100000,0,0.0,388
share_num,int64,100000,0,0.0,242
collect_num,int64,100000,0,0.0,476
is_follow_author,int64,100000,0,0.0,2
add2cart,int64,100000,0,0.0,2
coupon_received,int64,100000,0,0.0,2
coupon_used,int64,100000,0,0.0,2
pv_count,int64,100000,0,0.0,99
last_click_gap,float64,100000,0,0.0,880
interaction_rate,float64,100000,0,0.0,9974
purchase_intent,float64,100000,0,0.0,498
freshness_score,float64,100000,0,0.0,560
social_influence,float64,100000,0,0.0,8932
label,int64,100000,0,0.0,2
