,count,mean,std,min,25%,50%,75%,max,偏度,峰度
age,100000.0,27.1,7.031,18.0,21.0,27.0,32.0,64.0,0.538,-0.262
gender,100000.0,0.363,0.481,0.0,0.0,0.0,1.0,1.0,0.569,-1.676
user_level,100000.0,3.925,1.581,1.0,3.0,4.0,5.0,7.0,-0.063,-0.67
purchase_freq,100000.0,11.577,10.041,0.0,5.0,9.0,15.0,50.0,1.81,3.481
total_spend,100000.0,2703.604,3013.396,39.73,981.425,1799.485,3304.305,50000.0,4.238,33.593
register_days,100000.0,545.106,288.609,1.0,339.0,541.0,742.0,1822.0,0.18,-0.298
follow_num,100000.0,19.479,25.538,0.0,6.0,12.0,23.0,500.0,5.053,47.278
fans_num,100000.0,0.645,2.8,0.0,0.0,0.0,0.0,337.0,34.397,2768.418
price,100000.0,110.214,121.654,1.43,40.06,73.6,135.18,3299.41,4.408,43.3
discount_rate,100000.0,0.115,0.13,0.0,0.0,0.075,0.205,0.643,0.915,-0.096
title_length,100000.0,27.636,11.7,5.0,19.0,27.0,36.0,76.0,0.166,-0.276
title_emo_score,100000.0,0.599,0.148,0.059,0.497,0.606,0.708,0.976,-0.222,-0.395
img_count,100000.0,3.273,1.661,1.0,2.0,3.0,4.0,8.0,0.68,0.16
has_video,100000.0,0.299,0.458,0.0,0.0,0.0,1.0,1.0,0.876,-1.233
like_num,100000.0,37.346,215.437,0.0,4.0,11.0,30.0,20000.0,61.156,5217.885
comment_num,100000.0,7.05,43.989,0.0,0.0,2.0,5.0,5000.0,61.934,5812.068
share_num,100000.0,3.325,23.597,0.0,0.0,1.0,2.0,2995.0,73.386,7751.352
collect_num,100000.0,9.808,55.84,0.0,0.0,2.0,8.0,7567.0,58.076,5513.083
is_follow_author,100000.0,0.141,0.348,0.0,0.0,0.0,0.0,1.0,2.065,2.266
add2cart,100000.0,0.234,0.423,0.0,0.0,0.0,0.0,1.0,1.256,-0.422
coupon_received,100000.0,0.201,0.401,0.0,0.0,0.0,0.0,1.0,1.492,0.227
coupon_used,100000.0,0.116,0.32,0.0,0.0,0.0,0.0,1.0,2.406,3.787
pv_count,100000.0,9.264,11.54,1.0,3.0,6.0,11.0,100.0,3.446,16.943
last_click_gap,100000.0,12.01,12.075,0.1,3.4,8.3,16.6,165.5,2.031,6.197
interaction_rate,100000.0,15.07,95.235,0.0,0.562,2.75,10.042,9850.375,52.347,4160.65
purchase_intent,100000.0,2.754,6.096,0.0,0.2,1.1,5.0,756.7,44.647,3867.705
freshness_score,100000.0,0.723,0.18,0.127,0.591,0.743,0.876,0.996,-0.421,-0.69
social_influence,100000.0,76.758,476.192,0.0,3.93,15.84,51.88,49251.88,52.342,4160.2
label,100000.0,0.45,0.497,0.0,0.0,0.0,1.0,1.0,0.202,-1.959
