,label
last_click_gap,-0.0677
pv_count,-0.0279
price,-0.0104
title_length,-0.0042
follow_num,-0.0009
gender,-0.0008
fans_num,-0.0007
register_days,-0.0006
age,-0.0004
title_emo_score,0.0017
purchase_freq,0.0021
total_spend,0.0021
has_video,0.0024
img_count,0.0058
share_num,0.0232
comment_num,0.0251
collect_num,0.0269
like_num,0.027
interaction_rate,0.0306
social_influence,0.0315
discount_rate,0.0612
user_level,0.0864
freshness_score,0.0889
is_follow_author,0.1255
coupon_received,0.1462
purchase_intent,0.1781
coupon_used,0.2007
add2cart,0.3589
